Filename,Rows,Cols,Partitions,MemoryMB
test_1000rows_100cols_100indexes_10dates.jsonl,1000, 100, 1000, 3732
test_1000rows_100cols_1indexes_10dates.jsonl,1000, 100, 10, 0
test_1000rows_100cols_25indexes_10dates.jsonl,1000, 100, 250, 1010
test_1000rows_100cols_400indexes_10dates.jsonl,1000, 100, 4000, 3707
test_1000rows_10cols_100indexes_10dates.jsonl,1000, 10, 1000, 1277
test_1000rows_10cols_1indexes_10dates.jsonl,1000, 10, 10, 0
test_1000rows_10cols_25indexes_10dates.jsonl,1000, 10, 250, 0
test_1000rows_10cols_400indexes_10dates.jsonl,1000, 10, 4000, 1321
test_1000rows_25cols_100indexes_10dates.jsonl,1000, 25, 1000, 1288
test_1000rows_25cols_1indexes_10dates.jsonl,1000, 25, 10, 0
test_1000rows_25cols_25indexes_10dates.jsonl,1000, 25, 250, 0
test_1000rows_25cols_400indexes_10dates.jsonl,1000, 25, 4000, 1307
test_4000rows_100cols_100indexes_10dates.jsonl,4000, 100, 1000, 4028
test_4000rows_100cols_1indexes_10dates.jsonl,4000, 100, 10, 0
test_4000rows_100cols_25indexes_10dates.jsonl,4000, 100, 250, 1073
test_4000rows_100cols_400indexes_10dates.jsonl,4000, 100, 4000, 15453
test_4000rows_10cols_100indexes_10dates.jsonl,4000, 10, 1000, 1353
test_4000rows_10cols_1indexes_10dates.jsonl,4000, 10, 10, 0
test_4000rows_10cols_25indexes_10dates.jsonl,4000, 10, 250, 0
test_4000rows_10cols_400indexes_10dates.jsonl,4000, 10, 4000, 5191
test_4000rows_25cols_100indexes_10dates.jsonl,4000, 25, 1000, 1385
test_4000rows_25cols_1indexes_10dates.jsonl,4000, 25, 10, 0
test_4000rows_25cols_25indexes_10dates.jsonl,4000, 25, 250, 0
test_4000rows_25cols_400indexes_10dates.jsonl,4000, 25, 4000, 5180
test_8000rows_100cols_100indexes_10dates.jsonl,8000, 100, 1000, 3939
test_8000rows_100cols_1indexes_10dates.jsonl,8000, 100, 10, 168
test_8000rows_100cols_25indexes_10dates.jsonl,8000, 100, 250, 1112
test_8000rows_100cols_400indexes_10dates.jsonl,8000, 100, 4000, 16051
test_8000rows_10cols_100indexes_10dates.jsonl,8000, 10, 1000, 1359
test_8000rows_10cols_1indexes_10dates.jsonl,8000, 10, 10, 0
test_8000rows_10cols_25indexes_10dates.jsonl,8000, 10, 250, 417
test_8000rows_10cols_400indexes_10dates.jsonl,8000, 10, 4000, 5290
test_8000rows_25cols_100indexes_10dates.jsonl,8000, 25, 1000, 1378
test_8000rows_25cols_1indexes_10dates.jsonl,8000, 25, 10, 0
test_8000rows_25cols_25indexes_10dates.jsonl,8000, 25, 250, 418
test_8000rows_25cols_400indexes_10dates.jsonl,8000, 25, 4000, 5330
